t_index	term	df
392	altern	21
393	altitud	2
394	altogeth	4
395	aluminum	2
396	alun	6
397	alwadi	1
398	alzawahri	2
399	alzindani	2
400	amad	3
401	amanda	17
402	amarillo	2
403	amartej	3
404	amaru	8
405	amass	4
406	amateur	2
407	amaz	10
408	amazingli	1
409	ambassador	62
410	ambersag	3
411	ambigu	1
412	ambit	8
413	ambiti	2
414	ambival	2
415	ambul	14
416	ambush	1
417	ameli	6
418	amend	2
419	amerasian	1
420	america	179
421	american	784
422	americanislam	1
423	americanl	1
424	americanstatesman	1
425	americanyemeni	1
426	americorp	1
427	amh	1
428	ami	2
429	amiabl	2
430	amic	1
431	amid	57
432	amidship	2
433	amin	1
434	amit	1
435	amman	2
436	ammo	1
437	ammonium	1
438	ammunit	25
439	amnesia	2
440	amnesti	2
441	amp	6
442	amphibi	4
443	ampl	2
444	ampli	1
445	amplifi	1
446	amput	15
447	ana	12
448	anacostia	1
449	analges	1
450	analog	1
451	analysi	10
452	analyst	54
453	analyz	5
454	anarch	2
455	anathema	1
456	anatoli	10
457	anca	4
458	ancestor	3
459	ancestr	25
460	ancestri	1
461	anchor	10
462	anchorag	3
463	anchorman	3
464	ancient	5
465	andean	6
466	anderson	11
467	andi	5
468	andjelkov	2
469	andoslavia	1
470	andov	1
471	andr	58
472	andrea	24
473	andrei	2
474	andrew	20
475	andrik	3
476	anew	7
477	angel	22
478	anger	55
479	angl	13
480	anglican	1
481	angri	30
482	angrili	4
483	anguish	9
484	ani	497
485	anim	2
486	animist	2
487	animos	11
488	anjana	2
489	anjar	10
490	anjay	1
491	ank	2
492	ankl	8
493	ankledeep	1
494	anna	21
495	annabel	1
496	annacon	1
497	annan	19
498	anniversari	16
499	announc	229
500	annoy	2
501	annual	18
502	annul	16
503	anomali	1
504	anonym	75
505	answer	55
506	antagon	1
507	antasiaovich	1
508	antenna	2
509	anthem	6
510	anthoni	27
511	anthropologist	4
512	anti	1
513	antiaircraft	4
514	antiamerican	18
515	antiballist	2
