t_index	term	df
3406	duluth	2
3407	duma	1
3408	dump	13
3409	duo	1
3410	duopoli	1
3411	dupe	1
3412	duplic	1
3413	durango	2
3414	dure	426
3415	duress	1
3416	dusan	1
3417	dusk	2
3418	dust	19
3419	dusti	14
3420	dutch	4
3421	duti	30
3422	duval	2
3423	dwarf	1
3424	dwell	2
3425	dwi	1
3426	dwight	2
3427	dwindl	11
3428	dwva	3
3429	dwyer	1
3430	dye	2
3431	dygalo	5
3432	dynam	6
3433	dynamit	4
3434	dynamitetip	4
3435	dynasti	3
3436	dysfunct	1
3437	eager	18
3438	eagl	1
3439	eagleton	2
3440	eaker	1
3441	eantwar	1
3442	ear	7
3443	eardrum	2
3444	earli	216
3445	earlier	225
3446	earliest	8
3447	earlyseason	1
3448	earmark	8
3449	earn	23
3450	earnest	5
3451	earshot	1
3452	earth	40
3453	earthmov	5
3454	earthquak	260
3455	earthquakedriven	1
3456	earthquakeravag	1
3457	earthquakestricken	1
3458	earthquaketrigg	2
3459	easi	37
3460	easier	13
3461	easiest	2
3462	easili	30
3463	easley	1
3464	eastern	46
3465	eat	16
3466	eaten	2
3467	eavesdrop	1
3468	ebb	5
3469	ebri	1
3470	eccel	1
3471	echeverria	2
3472	echo	28
3473	eclips	2
3474	ecolog	1
3475	ecologist	1
3476	ecommerc	1
3477	econolin	1
3478	econom	133
3479	economi	101
3480	economist	13
3481	ecstat	1
3482	ecuador	12
3483	ecuadorian	1
3484	edberg	2
3485	edg	49
3486	edgar	1
3487	edict	1
3488	edific	1
3489	edikipa	1
3490	edinburgh	1
3491	edit	16
3492	editor	29
3493	editori	34
3494	editorinchief	1
3495	edmond	37
3496	edmund	35
3497	edmundo	1
3498	edt	14
3499	eduard	1
3500	eduardo	1
3501	educ	51
3502	edward	6
3503	edwardo	1
3504	edwin	5
3505	eeri	2
3506	eerili	1
3507	effect	88
3508	effici	6
3509	effort	256
3510	effortlessli	1
3511	egg	6
3512	egoavil	3
3513	egotist	2
3514	egregi	2
3515	egypt	32
3516	egyptian	43
3517	ehud	8
3518	eightday	2
3519	eighteenmonthold	1
3520	eighth	16
3521	eighthcenturi	1
3522	eighthseed	7
3523	eighti	2
3524	eightman	1
3525	eightmemb	1
3526	eightmonth	1
3527	eightvolum	1
3528	eightyear	3
3529	eightyseven	2
3530	eightyyearold	1
3531	eisenhow	3
3532	eject	2
3533	ekra	1
3534	elabor	24
3535	elana	1
3536	elast	1
3537	elat	1
3538	elattar	1
3539	elayn	1
3540	elbaum	2
3541	elbow	12
3542	elder	6
3543	elderli	5
3544	eldest	3
3545	elect	979
3546	electionday	1
3547	electionnight	1
3548	elector	122
3549	electr	56
3550	electrician	3
3551	electricpow	1
3552	electrifi	1
3553	electrocut	1
3554	electron	14
3555	eleg	5
3556	element	23
3557	elementari	2
3558	elena	6
3559	elia	5
3560	eliac	1
3561	elier	2
3562	elig	11
3563	elimin	40
3564	elit	7
3565	elizabeth	8
3566	ellen	5
3567	elli	2
3568	elliot	2
3569	ellips	2
3570	ellipt	1
3571	ellwood	1
3572	elmisri	2
3573	elnhandcount	1
3574	elnleg	1
3575	elnmilitari	1
3576	elnrdp	1
3577	elong	1
3578	elsheikh	3
3579	elsirri	1
3580	elton	2
3581	elud	12
3582	elus	4
3583	email	8
3584	eman	1
3585	emanuel	1
3586	embargo	33
3587	embark	4
3588	embarrass	11
3589	embassi	223
3590	embattl	9
3591	embed	1
3592	embellish	3
3593	emblemat	1
3594	embrac	22
3595	embroil	1
3596	emerg	137
3597	emerson	4
3598	emigr	7
3599	emil	5
3600	emili	2
3601	emilio	2
3602	emir	8
3603	emiss	1
3604	emissari	3
3605	emit	1
3606	emkne	1
3607	emmanuel	3
3608	emot	56
3609	empathet	1
3610	empathi	1
3611	emperor	4
3612	emphas	10
3613	emphasi	8
3614	emphat	5
3615	empir	7
3616	employ	19
3617	employe	79
3618	empow	2
3619	empti	14
3620	emul	3
3621	enabl	10
3622	enact	4
3623	encircl	1
3624	enclos	1
3625	encor	1
3626	encount	16
3627	encourag	38
3628	end	394
3629	endang	5
3630	enddat	2
3631	endear	1
3632	endeavor	3
3633	endem	1
3634	endoftheyear	2
3635	endors	14
3636	endur	18
3637	enemi	67
3638	energ	3
3639	energet	1
3640	energi	33
3641	enforc	66
3642	engag	26
3643	engend	2
3644	engin	61
3645	engineerman	2
3646	engineman	2
3647	engineroom	2
3648	england	2
3649	english	13
3650	englishderiv	1
3651	englishlanguag	3
3652	englishspeak	4
3653	engrav	1
3654	engulf	7
3655	enhanc	6
3656	enigmat	1
3657	enjoin	1
3658	enjoy	21
3659	enlarg	5
3660	enlist	12
3661	enmesh	1
3662	enmiti	2
3663	enorm	29
3664	enqvist	2
3665	enrag	2
3666	enrich	1
3667	ensembl	2
3668	ensign	6
3669	ensnar	2
3670	ensu	9
3671	ensul	1
3672	ensur	35
3673	entail	1
3674	entangl	1
3675	enter	73
3676	enterpris	4
3677	entertain	5
3678	enthusiasm	8
3679	enthusiast	7
3680	entic	4
3681	entir	46
3682	entireti	1
3683	entiti	2
3684	entitl	8
3685	entomb	4
3686	entourag	3
3687	entranc	7
3688	entrench	2
3689	entrepreneur	3
3690	entrepreneuri	2
3691	entrepreneurship	5
3692	entri	3
3693	entrust	1
3694	envelop	1
3695	envi	1
3696	environ	9
3697	environment	16
3698	environmentalist	3
3699	envis	2
3700	envisag	1
3701	envoy	8
3702	epa	3
3703	epicent	47
3704	epicmra	3
3705	epidem	2
3706	epiphani	1
3707	episcop	3
3708	episod	2
3709	equal	20
3710	equanim	1
3711	equip	103
3712	equival	12
3713	eras	11
3714	erect	8
3715	erena	2
3716	eric	6
3717	erinson	1
3718	erlang	1
3719	ernesto	4
3720	erni	4
3721	erod	9
3722	eros	4
3723	errand	1
3724	errat	8
3725	erron	3
3726	error	87
3727	errorpron	1
3728	errrr	1
3729	erupt	19
3730	esam	1
3731	escal	10
3732	escap	210
3733	escape	48
3734	escort	13
3735	escud	4
3736	especi	84
3737	espehello	1
3738	espi	15
3739	espionag	50
3740	espitia	2
3741	espo	1
3742	espous	1
3743	essay	4
3744	essenc	3
3745	essenti	18
3746	establish	52
3747	estat	20
3748	estim	91
3749	estrada	1
3750	estrang	1
3751	etar	1
3752	etcetera	1
3753	ethan	2
3754	ethic	7
3755	ethiopia	1
3756	ethnic	72
3757	ethnocentr	2
3758	etoge	1
3759	eugen	4
3760	eulog	4
3761	euphor	1
3762	euphoria	6
3763	europ	88
3764	european	83
3765	evacu	28
3766	evad	8
3767	evalu	14
3768	evan	11
3769	evanel	1
3770	evapor	4
3771	evas	15
3772	evelyn	2
3773	evenh	1
3774	evenhand	4
3775	evenli	6
3776	event	105
3777	eventu	48
3778	everett	1
3779	everi	109
3780	evershrink	2
3781	eversinc	1
3782	everworsen	1
3783	everybodi	25
3784	everyday	10
3785	evi	4
3786	evict	2
3787	evid	186
3788	evidenc	1
3789	evidencegath	1
3790	evil	2
3791	evoc	1
3792	evok	1
3793	evolut	3
3794	ewe	4
3795	exacerb	1
3796	exact	8
3797	exactli	40
3798	exagger	7
3799	exalt	1
3800	exam	4
3801	examin	57
3802	exampl	62
3803	exasper	2
3804	excabinet	1
3805	excav	17
3806	exceed	5
3807	exceedingli	1
3808	excel	6
3809	excerpt	6
3810	excess	3
3811	exchang	25
3812	excia	2
3813	excit	13
3814	exclaim	1
3815	exclam	2
3816	exclud	31
3817	exclus	20
3818	exclusion	2
3819	exclusionari	1
3820	excruci	1
3821	excus	9
3822	execut	96
3823	exemplari	1
3824	exemplifi	1
3825	exempt	2
3826	exercis	34
3827	exhaust	29
3828	exhibit	4
3829	exhilar	1
3830	exhort	2
3831	exhous	1
3832	exhusband	4
3833	exil	48
3834	exintellig	7
3835	exintern	1
3836	exist	26
3837	exit	35
3838	exlead	1
3839	exnew	3
3840	exocet	1
3841	exodu	3
3842	exoner	1
3843	expand	19
3844	expans	6
3845	expatri	3
3846	expect	254
3847	expectantli	1
3848	expedi	2
3849	expedit	5
3850	expel	5
3851	expenditur	2
3852	expens	23
3853	experi	63
3854	experienc	8
3855	expert	151
3856	expertis	8
3857	expir	9
3858	explain	38
3859	explan	13
3860	explicit	4
3861	explicitli	6
3862	explod	58
3863	exploit	7
3864	explor	14
3865	explos	467
3866	explosivesladen	3
3867	explosivespack	1
3868	export	20
3869	exportimport	1
3870	expos	8
3871	expossess	2
3872	expresid	8
3873	express	89
3874	expressnew	1
3875	expuls	1
3876	exquisit	1
3877	exsaudi	1
3878	exspi	13
3879	extend	38
3880	extens	51
3881	extent	28
3882	exterior	3
3883	extern	15
3884	extinct	2
3885	extinguish	2
3886	extol	2
3887	extort	4
3888	extra	26
3889	extract	6
3890	extradit	45
3891	extraleg	1
3892	extraordinari	15
3893	extraordinarili	2
3894	extravag	2
3895	extrem	22
3896	extremist	25
3897	extric	2
3898	exuber	1
3899	exud	1
3900	exult	1
3901	exwif	10
3902	eyadema	1
3903	eyal	1
3904	eye	77
3905	eyebal	2
3906	eyelid	1
3907	eyesburn	1
3908	eyewit	10
3909	eyewitnesss	1
3910	fa	1
3911	faa	1
3912	fabiani	1
3913	fabric	5
3914	facad	4
3915	face	226
3916	faceoff	2
3917	facetofac	1
3918	facial	1
3919	facil	54
3920	facilit	4
3921	fact	144
3922	factbook	4
3923	factfind	3
3924	faction	14
3925	facto	2
3926	factor	27
3927	factori	24
3928	factual	1
3929	fade	25
3930	fadeyev	1
3931	fagan	2
3932	fahrenheit	1
3933	fail	131
3934	failur	17
3935	faint	6
3936	faintli	1
3937	fair	49
3938	fairfax	1
3939	fairleigh	1
3940	fairli	16
3941	fairskin	1
3942	faisal	1
3943	faith	12
3944	faithbas	1
3945	faithless	1
3946	fake	16
3947	fall	85
3948	fallen	35
3949	fallout	1
3950	faln	2
3951	fals	39
3952	falsif	1
3953	falsifi	5
3954	falter	4
3955	fame	7
3956	famili	326
3957	familiar	23
3958	famou	5
3959	fan	10
3960	fanci	1
3961	fanfar	2
3962	far	235
3963	faraway	3
3964	farc	2
3965	fare	1
3966	farera	1
3967	farewel	17
3968	farflung	3
3969	farid	1
3970	farina	4
3971	farinella	3
3972	farm	9
3973	farmer	8
3974	farmington	1
3975	farrier	1
3976	farther	2
3977	farthest	2
3978	fascin	5
3979	fascist	3
3980	fashion	7
3981	faso	10
3982	fast	23
3983	faster	11
3984	fastest	2
3985	fastfad	1
3986	fastfood	2
3987	fat	2
3988	fatal	9
3989	fatalist	1
3990	fate	33
3991	father	111
3992	fatherinlaw	3
3993	fatherless	1
3994	fatigu	7
3995	fatwa	1
3996	fault	32
3997	faulti	2
3998	favor	51
3999	favorit	14
4000	faw	1
4001	fax	14
4002	fay	1
4003	fayettevil	1
4004	fbi	264
4005	fbile	1
4006	fbiyemeni	1
4007	fd	2
4008	fda	1
4009	fear	121
4010	fearless	4
4011	fearmong	1
4012	feasibl	5
4013	feast	1
4014	feat	8
4015	featur	20
4016	feb	2
4017	februari	3
4018	fed	19
4019	feder	268
4020	federalist	1
4021	federico	11
4022	fee	8
4023	feed	14
4024	feel	184
4025	feet	94
4026	fehn	4
4027	feign	1
4028	feingold	2
4029	feinstein	7
4030	felix	9
4031	fell	79
4032	fellow	40
4033	fellowstud	1
4034	felon	9
4035	feloni	15
4036	felt	99
4037	femal	14
4038	feminist	1
4039	fenc	8
4040	fend	2
4041	ferdinand	1
4042	ferment	1
4043	fernand	6
4044	fernandez	1
4045	fernando	5
4046	feroci	1
4047	ferraro	1
4048	ferreira	3
4049	ferrer	1
4050	ferrero	20
4051	ferret	2
4052	ferri	4
4053	fertil	3
4054	fervor	5
4055	fest	1
4056	festiv	8
4057	fetch	1
4058	fever	6
4059	feverish	1
4060	fewer	24
4061	fewest	1
4062	fhimah	1
4063	fiance	1
4064	fiberglass	11
4065	fiction	2
4066	fictiti	5
4067	fidel	5
4068	fidelia	2
4069	fidget	2
4070	fie	1
4071	fiefdom	2
4072	field	57
4073	fierc	16
4074	fieri	3
4075	fierrera	1
4076	fife	2
4077	fifteenth	1
4078	fifth	41
4079	fifthseed	2
4080	fifthset	1
4081	fifti	1
4082	fiftythre	1
4083	fight	105
4084	fighter	20
4085	figur	110
4086	fijimori	1
4087	file	63
4088	filipov	6
4089	fillmor	1
4090	film	8
4091	filter	1
4092	filth	1
4093	final	302
4094	finalhour	1
4095	finalist	5
4096	financ	45
4097	financi	79
4098	fine	60
4099	finest	5
4100	finger	12
4101	fingerpoint	3
4102	fingerprint	5
4103	fingertip	1
4104	finish	65
4105	finit	2
4106	fink	11
4107	finland	2
4108	finsburi	1
4109	firearm	13
4110	firebal	1
4111	firebomb	2
4112	firebreath	1
4113	firecrack	2
4114	firefight	6
4115	fireman	6
4116	firepow	2
4117	fireston	1
4118	firestorm	1
4119	firework	6
4120	firm	36
4121	firmer	1
4122	firmli	12
4123	firstclass	1
4124	firstdegre	1
4125	firsthand	1
4126	firstli	1
4127	firstround	21
4128	firstset	4
4129	firstterm	2
4130	firsttim	2
4131	fiscal	3
4132	fischer	2
4133	fish	16
4134	fisheri	1
4135	fisherman	3
4136	fishermen	9
4137	fissur	1
4138	fist	8
4139	fit	32
4140	fitcher	1
4141	fitter	1
4142	fittingli	1
4143	fitzgerald	12
4144	fivecandid	11
4145	fiveday	4
4146	fiveinch	1
4147	fivememb	3
4148	fiveminut	2
4149	fiveset	6
4150	fivesett	2
4151	fivestori	3
4152	fiveterm	4
4153	fivetim	1
4154	fivevot	1
4155	fiveweek	3
4156	fiveyear	27
4157	fiveyearold	1
4158	fix	17
4159	fizzl	1
4160	fla	19
4161	flabas	2
4162	flabbergast	1
4163	flag	44
4164	flagdrap	6
4165	flagrant	2
4166	flagwav	4
4167	flair	2
4168	flak	1
4169	flake	5
4170	flaku	6
4171	flame	13
4172	flank	6
4173	flare	2
4174	flareup	1
4175	flash	3
4176	flashbulb	1
4177	flashlight	1
4178	flashpoint	3
4179	flat	11
4180	flatb	1
4181	flatfoot	1
4182	flatli	1
4183	flatout	1
4184	flatten	23
4185	flatter	1
4186	flatwar	1
4187	flaw	16
4188	flawless	2
4189	flawlessli	1
4190	flea	1
4191	fled	92
4192	fledgl	2
4193	flee	43
4194	fleet	106
4195	fleischer	4
4196	flesh	2
4197	fletchal	2
4198	fletcher	4
4199	flew	36
4200	flex	1
4201	flexibl	2
4202	flfing	1
4203	fli	57
4204	flier	1
4205	flight	66
4206	flimsi	1
4207	fling	1
4208	flint	1
4209	flintoff	2
4210	flip	3
4211	flipflop	4
4212	float	15
4213	floater	1
4214	flood	44
4215	floodcontrol	2
4216	floodlight	1
4217	floodlit	2
4218	floor	42
4219	flore	22
4220	floresc	1
4221	florez	2
4222	florida	90
4223	florist	1
4224	floss	1
4225	flotilla	14
4226	flour	2
4227	flourish	3
4228	flow	11
4229	flower	8
4230	flown	51
4231	floyd	5
4232	fluctuat	1
4233	fluid	2
4234	flung	5
4235	fluorid	1
4236	flurri	4
4237	flush	1
4238	fluster	2
4239	fluti	3
4240	flux	1
4241	flyaround	1
4242	focu	48
4243	focus	52
4244	focusgroup	1
4245	focuss	2
4246	foe	16
4247	fofana	2
4248	fog	13
4249	foggi	4
4250	foil	7
4251	fold	3
4252	foley	2
4253	folk	8
4254	folklor	1
4255	follow	271
4256	followup	2
4257	foment	3
4258	fond	2
4259	font	1
4260	food	96
4261	fool	2
4262	foolish	1
4263	foot	85
4264	footag	4
4265	footbal	11
4266	footballs	1
4267	footbyfoot	4
4268	footdeep	2
4269	foothigh	4
4270	foothil	6
4271	foothold	6
4272	footinch	1
4273	footlong	5
4274	footnot	1
4275	footprint	1
4276	footstep	2
4277	footwear	1
4278	footwork	1
4279	forag	4
4280	foray	3
4281	forb	3
4282	forbid	1
4283	forbidden	2
4284	forc	663
4285	forcep	1
4286	forcesix	1
4287	forcibl	2
4288	ford	12
4289	forebod	1
4290	forecast	9
4291	foreclos	1
4292	forefront	2
4293	forehead	2
4294	foreign	305
4295	foremost	3
4296	forens	22
4297	forerunn	2
4298	forese	3
4299	foreseen	1
4300	forest	9
4301	foretast	1
4302	forev	9
4303	foreword	1
4304	forg	5
4305	forgav	1
4306	forgeri	1
4307	forget	12
4308	forgiv	8
4309	forgiven	1
4310	forgot	1
4311	forgotten	7
4312	fork	2
4313	forkid	1
4314	formal	47
4315	format	12
4316	formerli	9
4317	formid	2
4318	formul	1
4319	formula	3
4320	fornl	1
4321	forprofit	1
4322	forsak	1
4323	forth	4
4324	forti	4
4325	fortifi	2
4326	fortitud	1
4327	fortnight	1
4328	fortress	1
4329	fortun	16
4330	fortyseven	1
4331	forum	15
4332	forward	71
4333	foster	5
4334	fought	51
4335	foulsmel	1
4336	foundat	21
4337	founder	11
4338	fountain	1
4339	fourblock	1
4340	fourday	4
4341	fourhour	3
4342	fourinch	2
4343	fourminut	1
4344	fourperson	1
4345	fourpoint	1
4346	fourstar	4
4347	fourstori	5
4348	fourterm	4
4349	fourth	79
4350	fourthfloor	1
4351	fourthround	5
4352	fourthseed	1
4353	fourtim	10
4354	fourwheel	1
4355	fourwheeldr	7
4356	fouryear	7
4357	fox	8
4358	foyer	2
4359	fpi	2
4360	fpt	3
4361	fraction	8
4362	fractiou	2
4363	fractur	10
4364	fragil	7
4365	fragment	10
4366	fraim	1
4367	frame	5
4368	framework	3
4369	franc	48
4370	francepress	1
4371	franchis	1
4372	franci	8
4373	franciscan	2
4374	francisco	38
4375	francoi	1
4376	franjo	3
4377	frank	39
4378	frankfurt	10
4379	frankli	8
4380	frantic	20
4381	fraser	2
4382	frasur	3
4383	fraud	97
4384	fraudul	6
4385	fraught	3
4386	fray	4
4387	frazier	4
4388	fred	4
4389	freder	1
4390	fredericqu	1
4391	frederik	1
4392	free	142
4393	freed	25
4394	freedom	56
4395	freedomlov	1
4396	freeforal	1
4397	freeh	47
4398	freelanc	1
4399	freeli	14
4400	freelli	1
4401	freemarket	2
4402	freer	3
4403	freewheel	1
4404	freez	2
4405	freight	2
4406	fremd	10
4407	fremont	2
4408	french	83
4409	frenchbuilt	2
4410	frenchmad	1
4411	frenchman	10
4412	frenchmen	1
4413	frenchspeak	1
4414	frenchtrain	1
4415	frenchwoman	2
4416	frenzi	3
4417	frequent	28
4418	fresh	20
4419	fresher	1
4420	freshman	10
4421	freshmen	2
4422	fresno	1
4423	fri	2
4424	friction	1
4425	friday	464
4426	friend	111
4427	friendli	20
4428	friendship	8
4429	frigat	12
4430	frighten	24
4431	frigid	1
4432	frist	2
4433	frond	1
4434	frontend	6
4435	frontier	1
4436	frontlin	1
4437	frontman	1
4438	frontpag	2
4439	frontrun	2
4440	frontrunn	1
4441	frown	1
4442	froze	7
4443	frozen	6
4444	fruit	7
4445	fruition	1
4446	fruitless	1
4447	frustrat	45
4448	fs	1
4449	fsb	8
4450	fudg	1
4451	fuel	54
4452	fuerth	1
4453	fugazi	9
4454	fugimori	3
4455	fugit	141
4456	fujimori	607
4457	fulfil	5
4458	fullest	4
4459	fullfledg	1
4460	fulli	45
4461	fullpag	2
4462	fullscal	1
4463	fullthroat	3
4464	fume	1
4465	fun	2
4466	function	14
4467	functionari	2
4468	fund	67
4469	fundament	14
4470	fundamentalist	9
4471	fundrais	22
4472	funer	27
4473	funnel	3
4474	funni	2
4475	furi	6
4476	furiou	12
4477	furious	6
4478	furnish	2
4479	furnitur	6
4480	furor	2
4481	furrow	2
4482	furthermor	3
4483	furthest	1
4484	furtiv	2
4485	fuselag	1
4486	fuss	1
4487	futa	1
4488	futil	4
4489	futur	129
4490	futurist	1
4491	fuzzi	1
4492	gabbi	1
4493	gabe	1
4494	gabon	2
4495	gabriel	1
4496	gadget	1
4497	gadhafi	1
4498	gaell	1
4499	gaff	1
4500	gafney	3
4501	gag	1
4502	gagliardi	2
4503	gagnoa	5
4504	gaig	1
4505	gajar	3
4506	gal	1
4507	galapago	4
4508	gale	8
4509	galiardi	1
4510	gallup	5
4511	gallust	4
4512	galo	8
4513	galvan	2
4514	galvin	1
4515	gamarra	5
4516	gambler	2
4517	game	165
4518	gan	3
4519	gandhi	11
4520	gandhinagar	1
4521	gang	27
4522	gangster	1
4523	gangsterstyl	1
4524	gantlet	1
4525	gap	12
4526	gape	16
4527	garag	6
4528	garbag	17
4529	garbageremov	1
4530	garbl	8
4531	garcia	53
4532	garden	13
4533	gari	10
4534	garin	1
4535	garland	1
4536	garment	1
4537	garner	5
4538	garri	2
4539	garro	1
4540	garwood	3
4541	gase	1
4542	gash	4
4543	gasolin	2
4544	gasp	1
4545	gaspow	1
4546	gaston	1
4547	gate	21
4548	gatehous	2
4549	gateway	2
4550	gather	101
4551	gatl	1
4552	gatorad	1
4553	gaudi	1
4554	gaug	4
4555	gauna	2
4556	gaur	1
4557	gautam	1
4558	gave	122
4559	gavel	1
4560	gavlak	2
4561	gawker	1
4562	gay	21
4563	gaye	3
4564	gaza	18
4565	gaze	4
4566	gazett	1
4567	gazilliondollar	1
4568	gbagbo	218
4569	gbessi	1
4570	gear	11
4571	gedda	1
4572	gedrif	1
4573	gee	1
4574	geeman	1
4575	gehman	18
4576	gehmancrouch	1
4577	gejdenson	4
4578	gelu	3
4579	gen	86
4580	gendarm	9
4581	gene	2
4582	gener	332
4583	generalsecretari	1
4584	generos	3
4585	genex	1
4586	genocid	7
4587	genom	1
4588	genrikh	1
4589	gentl	1
4590	gentleman	1
4591	gentlemen	1
4592	gentli	6
4593	genuin	5
4594	geo	2
4595	geoff	1
4596	geofferi	1
4597	geoffrey	3
4598	geographi	1
4599	geolog	11
4600	geologist	2
4601	geopolit	1
4602	georg	157
4603	georgetown	1
4604	georgi	1
4605	georgia	9
4606	georgian	2
4607	gephardt	3
4608	gerald	1
4609	gerd	1
4610	gerhard	5
4611	gerin	2
4612	german	27
4613	germani	112
4614	germanydeport	1
4615	germicid	1
4616	gerri	1
4617	gerstein	2
4618	gestapo	1
4619	gestur	23
4620	getalong	1
4621	getaway	9
4622	getoutthevot	3
4623	ghee	1
4624	ghost	4
4625	giant	13
4626	gift	34
4627	gigant	1
4628	giggl	2
4629	gil	1
4630	gila	1
4631	gilbert	3
4632	gillespi	2
4633	gilman	1
4634	gilmor	2
4635	gimbel	1
4636	gina	1
4637	ginger	2
4638	gingerli	3
4639	girder	1
4640	girl	37
4641	girlfriend	3
4642	giuliani	13
4643	given	134
4644	gizbert	6
4645	glad	13
4646	gladi	1
4647	gladkovich	4
4648	gladli	1
4649	glanc	5
4650	glascoff	2
4651	glaspi	9
4652	glass	23
4653	gleefulli	2
4654	glen	4
4655	glenni	2
4656	glimps	6
4657	glisten	1
4658	global	37
4659	globe	6
4660	glori	3
4661	gloria	1
4662	glorifi	1
4663	gloriou	2
4664	glove	4
4665	glow	5
4666	glue	4
4667	glum	1
4668	gmc	1
4669	gnassingb	1
4670	gnd	1
4671	goal	21
4672	goate	2
4673	gobbl	1
4674	god	45
4675	goddess	1
4676	godfear	1
4677	goe	41
4678	goggl	1
4679	goh	1
4680	goin	4
4681	goingaway	1
4682	gokool	1
4683	gold	16
4684	golden	4
4685	goldman	5
4686	goldsmith	3
4687	goldstein	5
4688	golf	5
4689	golfer	1
4690	goliath	1
4691	gone	80
4692	gonna	7
4693	good	300
4694	goodbehavior	1
4695	goodby	10
4696	goodnatur	1
4697	goodwil	6
4698	gop	63
4699	gopcontrol	1
4700	gopheld	1
4701	goptrend	2
4702	goran	6
4703	gorbachov	1
4704	gordana	1
4705	gordi	3
4706	gordon	8
4707	gore	350
4708	gorebush	1
4709	gorelieberman	4
4710	gorgeou	1
4711	gorton	8
4712	gosh	1
4713	gossip	1
4714	gostran	1
4715	got	195
4716	gotten	11
4717	gov	116
4718	gove	1
4719	govern	790
4720	government	2
4721	governmentback	1
4722	governmentcontrol	2
4723	governmentown	3
4724	governmentrun	2
4725	governmentsponsor	1
4726	governmentsuppli	1
4727	governor	268
4728	gown	3
4729	grab	16
4730	grabbi	1
4731	grace	6
4732	graceless	1
4733	graciou	3
4734	grade	1
4735	grado	1
4736	gradual	9
4737	graduat	6
4738	graf	2
4739	graff	1
4740	graffiti	2
4741	graham	3
4742	grain	3
4743	graini	1
4744	gram	16
4745	gramm	3
4746	grammar	1
4747	grand	124
4748	grandchildren	2
4749	granddaught	4
4750	grandfath	2
4751	grandios	1
4752	grandma	1
4753	grandmaison	1
4754	grandmom	2
4755	grandmoth	6
4756	grandson	13
4757	granger	10
4758	granit	1
4759	grant	75
4760	grapevin	1
4761	graphic	2
4762	grappl	3
4763	grasp	7
4764	grassley	1
4765	grate	17
4766	gratifi	3
4767	gratitud	5
4768	grave	25
4769	gravesid	2
4770	gravest	1
4771	gravi	1
4772	gravit	1
4773	graviti	1
4774	gray	8
4775	graze	1
4776	great	126
4777	greater	32
4778	greaterwc	1
4779	greatest	21
4780	greatli	2
4781	greec	4
4782	greed	1
4783	greek	5
4784	green	22
4785	greenhous	2
4786	greenleaf	1
4787	greenway	1
4788	greenwood	2
4789	greet	36
4790	greg	27
4791	gregor	5
4792	gregori	3
4793	gregorio	1
4794	grenad	11
4795	grenada	4
4796	greta	3
4797	grew	19
4798	greybeard	1
4799	grid	2
4800	gridlock	3
4801	grief	11
4802	griev	9
4803	grievanc	4
4804	griffith	2
4805	grim	15
4806	grimac	4
4807	grimfac	3
4808	grin	6
4809	grind	4
4810	grip	19
4811	grisli	2
4812	gritti	1
4813	groan	1
4814	groceri	2
4815	groh	1
4816	groom	1
4817	groov	2
4818	grope	1
4819	grosanc	1
4820	grosjean	52
4821	gross	3
4822	grotesqu	3
4823	ground	131
4824	groundbreak	1
4825	groundless	3
4826	groundstrok	14
4827	groundwork	3
4828	group	400
4829	grove	1
4830	grow	69
4831	grown	18
4832	growth	10
4833	grubac	2
4834	gruber	2
4835	grucci	3
4836	grudg	1
4837	grudgingli	1
4838	gruel	5
4839	gruesom	2
4840	grumbl	2
4841	gruntlik	4
4842	gu	1
4843	guadalup	2
4844	guarante	23
4845	guaranti	3
4846	guard	167
4847	guardao	2
4848	guardian	5
4849	guardsmen	2
4850	guatemala	44
4851	guatemalan	2
4852	gubernatori	3
4853	guei	184
4854	guerilla	4
4855	guerrilla	22
4856	guess	23
4857	guest	15
4858	guevara	1
4859	guid	27
4860	guidedmissil	5
4861	guidelin	18
4862	guido	1
4863	guie	3
4864	guillermo	1
4865	guilt	4
4866	guilti	81
4867	guinea	2
4868	guis	3
4869	gujarat	96
4870	gujarati	2
4871	gujral	2
4872	gulch	1
4873	gulf	157
4874	gull	2
4875	gullast	1
4876	gun	99
4877	gunboat	2
4878	gunfight	1
4879	gunfir	10
4880	gungho	1
4881	gunman	2
4882	gunmen	1
4883	gunn	13
4884	gunrun	2
4885	gunshot	8
4886	guntot	1
4887	gupta	2
4888	gurney	1
4889	guru	1
4890	gustavo	17
4891	gut	4
4892	gutman	4
4893	guy	44
4894	guzman	4
4895	guzun	1
4896	gymnasium	3
4897	gyro	3
4898	gyrocompass	1
4899	gyroscop	6
4900	haaretz	1
4901	haass	4
4902	habiar	1
4903	habib	1
4904	habit	2
4905	haddock	1
4906	hadhramaut	18
4907	hadi	1
4908	hadnt	7
4909	hadramaut	4
4910	hager	4
4911	hagerstown	2
4912	haggard	1
4913	haggl	1
4914	hagu	48
4915	hahdramaut	1
4916	hai	7
4917	haider	1
4918	haight	2
4919	hail	12
4920	haiphong	1
4921	hair	23
4922	hairbreadth	1
4923	hairstyl	5
4924	hairstylist	1
4925	haiti	9
4926	haitian	1
4927	hal	1
4928	hale	1
4929	halevi	7
4930	haley	2
4931	half	126
4932	halfbroth	1
4933	halfburi	1
4934	halfdozen	2
4935	halfeaten	1
4936	halfexpress	1
4937	halffinish	2
4938	halfhour	2
4939	halfinch	3
4940	halfmil	2
4941	halfmillion	1
4942	halfpric	1
4943	halfsist	1
4944	halfstaff	3
