136
t_index	tf-idf
27	0.05356626893266857
143	0.07561561675128513
365	0.04816545910488748
472	0.1123866858598015
495	0.05736948812473442
577	0.07931705421596486
684	0.05271207038609448
807	0.0998817597068744
1056	0.04705608491327188
2235	0.17457305261691194
2245	0.03250145376241334
2296	0.07561561675128513
2329	0.07193109922224859
2434	0.03565138560643711
2448	0.09655024837946681
2454	0.09990260276136789
2489	0.07932871108181866
2603	0.07097899688425531
2632	0.05356626893266857
2815	0.01981494812610241
2840	0.05514255940392063
2846	0.03772983145233386
3099	0.05313517784492346
3136	0.06125370053242733
3319	0.07866642848401409
3489	0.04125173512892877
3629	0.07932871108181866
3775	0.11895940126912537
3793	0.08376462263186106
3851	0.12130485009297565
3855	0.04868670946586577
4531	0.24874546702844177
4610	0.08825889219528817
4637	0.05356626893266857
4661	0.036460218737623326
4681	0.05109389695202578
4723	0.05148782308677181
4771	0.06156037828896886
4956	0.07097899688425531
4981	0.008554987635553594
5012	0.052922644686099606
5033	0.0980247696409437
5110	0.09262395981316263
5299	0.049951301380683946
5357	0.05678738726378404
5416	0.06315873264394264
5422	0.03181939864081457
5795	0.04351832432634973
5809	0.04408598457843965
5834	0.04976630320538961
5901	0.050515457199939606
6151	0.07396329576122213
6181	0.08728652630845597
6212	0.05445364842336021
6317	0.05148782308677181
6518	0.07932871108181866
6552	0.050899451950126635
6743	0.03719222665270576
6759	0.05468098512310346
6803	0.03677106910851637
6970	0.03258816031740265
7011	0.08459551964676901
7231	0.07396135491556774
7289	0.07292461008959818
7406	0.05400565073984356
7511	0.038058573092597116
7592	0.09262395981316263
7676	0.09033733804118493
7814	0.10312296378879067
7818	0.0652371784898394
7849	0.09033733804118493
7857	0.026321535703970337
7936	0.07619405650337131
8479	0.07145008882812127
8533	0.0683398566462466
8565	0.10418349534238333
8620	0.06792818515152636
8692	0.06597424724220428
8702	0.0663518946802743
8740	0.09516514856215336
8827	0.037513269169115786
9046	0.0980247696409437
9050	0.0466694750425666
9115	0.10511092575476297
9137	0.06597424724220428
9261	0.03740575297155577
9370	0.09262395981316263
9374	0.15989599830080561
9437	0.05356626893266857
9467	0.09737341893173154
9615	0.28811912164094183
9625	0.06875908216643431
9863	0.08825889219528817
9896	0.1366797132924932
9924	0.09655024837946681
9956	0.06962134109404744
10467	0.03545357354980956
10473	0.04868670946586577
10488	0.03392986572505491
10623	0.07193109922224859
10628	0.060951084852493224
10717	0.11543749759253046
10738	0.11843004690338957
10743	0.14405956082047092
11009	0.050515457199939606
11082	0.08376462263186106
11148	0.10728849171195454
11167	0.014916293672966022
11172	0.05378490361371274
11209	0.1123866858598015
11286	0.06383075608598697
11288	0.059495360095423486
11505	0.23798613324545598
11613	0.10728849171195454
11627	0.04452118154270191
11782	0.223411562818585
11799	0.05109389695202578
11810	0.060951084852493224
11830	0.012775195640226137
11936	0.018937977575432197
11967	0.02839369363189202
11998	0.09655024837946681
12127	0.059215023451694784
12223	0.06673588943046134
12475	0.14405956082047092
12572	0.028979550085818432
12760	0.0807138108991321
12844	0.02329530367302804
12884	0.03099450219056836
12922	0.0683398566462466
12943	0.05900959010589397
13115	0.06125370053242733
13152	0.09960106011219576
13180	0.08376462263186106
13189	0.14290017765624255
13263	0.03572853469683157
